cruce,fecha,hora_inicio,hora_final,livianos,colectivos,pesados,observaciones
CHACO Y REPUBLICA DE INDONESIA,2018-08-16,17,18,1310,0,1,
"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",2018-06-28,9,10,2838,42,12,
DIRECTORIO AV. Y LA PLATA AV.,2018-08-09,8,9,4775,214,24,
AV. CABILDO  Y COMODORO RIVADAVIA,2019-06-26,16,17,2151,9,1,NO SE CONTARON COLECTIVOS POR METROBUS
"UDAONDO, GUILLERMO AV. Y FIGUEROA ALCORTA, PRES. AV.",2018-06-28,19,20,2860,39,0,
NAZARRE Y CORTINA,2019-03-26,12,13,452,0,0,
EL MAESTRO Y CHACO,2018-08-16,18,19,976,0,0,
"LOZANO, PEDRO Y IRIGOYEN",2018-05-29,19,20,1052,10,1,
DIRECTORIO AV. Y LA PLATA AV.,2018-08-09,18,19,4405,176,7,
SIMBRON Y VIRGILIO,2019-03-26,16,17,573,0,0,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,9,10,477,0,0,
NOGOYA Y IRIGOYEN,2018-05-29,8,9,1491,67,10,
LA PLATA AV. Y ZAÑARTU,2018-08-07,8,9,1514,108,3,
"DE LOS INCAS AV. Y ACHA, MARIANO, GRAL.",2018-06-13,10,11,1475,40,17,
"DELLEPIANE, LUIS, TTE GRAL. SUR Y CASTAÑARES AV.",2019-01-22,8,9,533,71,7,
AV. DEL LIBERTADOR Y VEDIA,2018-05-22,8,9,4740,38,13,
"TRIUNVIRATO AV. Y ACHA, MARIANO, GRAL.",2018-06-13,16,17,1839,97,16,
DORREGO AV. Y CORDOBA AV.,2018-12-12,18,19,3363,69,5,
"MOLIERE Y VARELA, JOSE PEDRO",2019-03-26,8,9,617,0,0,
NAZARRE Y CORTINA,2019-03-26,17,18,507,0,0,
SENILLOSA Y CHACO,2018-08-16,8,9,788,34,0,
"ACOYTE AV. Y ARANGUREN JUAN F., DR.",2018-06-26,8,9,1847,137,15,
