Año,Mes,Delegación,Totales por delegación por mes
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Juan,26
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,San Luis,11
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Cruz,13
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santa Fé,217
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Santiago del Estero,42
2017,5,Tierra del Fuego,8
2017,5,Tierra del Fuego,8
2017,5,Tierra del Fuego,8
2017,5,Tierra del Fuego,8
2017,5,Tierra del Fuego,8
2017,5,Tierra del Fuego,8
2017,5,Tierra del Fuego,8
2017,5,Tierra del Fuego,8
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Tucumán,122
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
2017,5,Viedma - R.Negro,49
