,DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,DOLARM2,PESOSM2,COTIZACION,TRIMESTRE_,BARRIO,COMUNA_
910,"ANCHORENA, TOMAS M. DE, DR",482,2300000,147200000,4772,305394,64,SEGUNDO,RECOLETA,2
8794,Garibaldi,950,500000,33600000,526,35368,67,SEGUNDO,BOCA,4
7559,Vidal,535,1800000,120960000,3365,226127,67,SEGUNDO,BELGRANO,13
2868,Zado al 3700,411,510000,32640000,1241,79416,64,SEGUNDO,SAAVEDRA,12
6536,Bahia Blanca,337,620000,43090000,1840,127864,70,SEGUNDO,VILLA CRESPO,15
5672,Estados Unidos al 4300,225,600000,41700000,2667,185333,70,SEGUNDO,BOEDO,5
1235,HEREDIA,269,720000,46080000,2677,171301,64,SEGUNDO,VILLA ORTUZAR,15
1027,ZANARTU,446,300000,19200000,673,43049,64,SEGUNDO,PARQUE CHACABUCO,7
9595,Remedios,142,180000,12096000,1268,85183,67,SEGUNDO,PARQUE AVELLANEDA,9
92,"DELLEPIANE, LUIS 655",1300,9500000,760000000,7308,584615,80,CUARTO,SAN NICOLAS,1
7256,DEAN FUNES,247,290000,19488000,1174,78899,67,SEGUNDO,BALVANERA,3
4112,Trelles 1200,437,480000,30720000,1098,70297,64,SEGUNDO,VILLA GRAL. MITRE,11
5200,VALENTIN VIRASORO,306,980000,68110000,3203,222582,70,SEGUNDO,CABALLITO,6
9219,Av. Entre Rios,240,245000,16464000,1021,68600,67,SEGUNDO,PARQUE PATRICIOS,4
1932,Humberto Primo al 3000,700,700000,44800000,1000,64000,64,SEGUNDO,SAN CRISTOBAL,3
3743,ERCILLA,270,260000,16640000,963,61630,64,SEGUNDO,LINIERS,9
6606,Santo Tome,422,450000,31275000,1066,74111,70,SEGUNDO,VILLA DEL PARQUE,11
2721,J De Andonaegui,171,230000,14720000,1345,86082,64,SEGUNDO,PARQUE CHAS,15
423,CULPINA 800,331,180000,14400000,544,43504,80,CUARTO,FLORES SUR,7
8230,Araoz 700,1204,700000,47040000,581,39070,67,SEGUNDO,VILLA CRESPO,15
4774,PASCO,407,350000,24325000,860,59767,70,SEGUNDO,SAN CRISTOBAL,3
3188,Plaza,450,1295000,82880000,2878,184178,64,SEGUNDO,VILLA ORTUZAR,15
4349,Av Montes De Oca,882,1650000,105600000,1871,119728,64,SEGUNDO,BARRACAS ESTE,4
4038,Cnel R L Falcon,164,260000,16640000,1585,101463,64,SEGUNDO,VELEZ SARSFIELD,10
8253,CASTILLO 500,313,600000,40320000,1917,128818,67,SEGUNDO,VILLA CRESPO,15
6690,CHINA,130,305000,21197500,2346,163058,70,SEGUNDO,VILLA ORTUZAR,15
6299,Cnel T De Rocamora,1400,780000,54210000,557,38721,70,SEGUNDO,ALMAGRO,5
5783,Av Gaona,189,600000,41700000,3175,220635,70,SEGUNDO,FLORESTA,10
2198,ZAPIOLA,789,2400000,153600000,3042,194677,64,SEGUNDO,COLEGIALES,13
6966,Bolivia 1900,152,185000,12857500,1217,84589,70,SEGUNDO,VILLA GRAL. MITRE,11
9544,Luzuriaga,144,120000,8064000,833,56000,67,SEGUNDO,BARRACAS ESTE,4
2998,Dr. Nicolas Repetto al 2100,394,380000,24320000,964,61726,64,SEGUNDO,VILLA CRESPO,15
8317,"JUSTO, JUAN B. AVDA. al 2000",203,365000,24528000,1798,120828,67,SEGUNDO,VILLA CRESPO,15
2684,Saraza,507,380000,24320000,750,47968,64,SEGUNDO,PARQUE CHACABUCO,7
6216,A Moreto,308,198000,13761000,643,44679,70,SEGUNDO,PARQUE AVELLANEDA,9
4564,GALLO 156,328,590000,41005000,1799,125015,70,SEGUNDO,ALMAGRO,5
5528,JUSTO JUAN B,381,1100000,76450000,2887,200656,70,SEGUNDO,VILLA CRESPO,15
6919,M LEGUIZAMON,500,300000,20850000,600,41700,70,SEGUNDO,MATADEROS,9
752,SARANDI,142,460000,29440000,3239,207324,64,SEGUNDO,SAN CRISTOBAL,3
6082,Bacacay,228,290000,20155000,1272,88399,70,SEGUNDO,VELEZ SARSFIELD,10
7328,"BRASIL, AV. 1373/1300",233,1100000,73920000,4721,317253,67,SEGUNDO,CONSTITUCION,1
2403,Jose I Gorriti,320,1100000,70400000,3438,220000,64,SEGUNDO,PALERMO,14
8853,Castro Barros al 1400,1581,900000,60480000,569,38254,67,SEGUNDO,BOEDO,5
4911,Av. Monroe y Libertador,254,1600000,111200000,6299,437795,70,SEGUNDO,BELGRANO,13
56,"IRIGOYEN, BERNARDO DE 1500",934,920000,73600000,985,78801,80,CUARTO,CONSTITUCION,1
6527,CORRIENTES,935,2350000,163325000,2513,174679,70,SEGUNDO,VILLA CRESPO,15
10131,YERBAL 3700,1829,2250000,143437500,1230,78424,64,TERCER,FLORESTA,10
6503,Loyola al 100,239,550000,38225000,2301,159937,70,SEGUNDO,VILLA CRESPO,15
410,COLOMBRES 1300,86,149000,11920000,1733,138605,80,CUARTO,BOEDO,5
8947,Baradero,210,359000,24124800,1710,114880,67,SEGUNDO,FLORESTA,10
2148,WASHINGTON,160,380000,24320000,2375,152000,64,SEGUNDO,COGHLAN,12
6334,Defensa 1300,1314,1500000,104250000,1142,79338,70,SEGUNDO,SAN TELMO,1
2309,PARAGUAY,205,1300000,83200000,6341,405854,64,SEGUNDO,PALERMO,14
8655,Holmberg,182,360000,24192000,1978,132923,67,SEGUNDO,VILLA URQUIZA,12
657,BELGRANO 2900,303,880000,56100000,2904,185149,64,PRIMER,BALVANERA,3
6509,J Jufre,150,680000,47260000,4533,315067,70,SEGUNDO,VILLA CRESPO,15
6494,"JUSTO, JUAN B. AVDA. al 2000",203,365000,25367500,1798,124963,70,SEGUNDO,VILLA CRESPO,15
7460,Bartolome Mitre,1940,5000000,336000000,2577,173196,67,SEGUNDO,SAN NICOLAS,1
3632,"San Pedrito al 600, CABA",532,550000,35200000,1034,66165,64,SEGUNDO,FLORES SUR,7
6844,Av. Franklin Roosevelt al 5600,263,890000,61855000,3384,235190,70,SEGUNDO,VILLA URQUIZA,12
1320,COCHABAMBA 3500,448,360000,22950000,804,51228,64,PRIMER,BOEDO,5
7132,Belgrano al 4100,765,1500000,100800000,1961,131765,67,SEGUNDO,ALMAGRO,5
1497,"JUSTO, JUAN B.",311,820000,52480000,2637,168746,64,SEGUNDO,VILLA LURO,10
343,"COGHLAN, JUAN M. 4748",176,200000,16000000,1136,90909,80,CUARTO,VILLA DEVOTO SUR,11
10242,"FALCON, RAMON L.,CNEL.",267,690000,44160000,2584,165393,64,SEGUNDO,VILLA LURO,10
5735,BACACAY,304,620000,43090000,2039,141743,70,SEGUNDO,FLORESTA,10
2364,Humboldt,159,850000,54400000,5346,342138,64,SEGUNDO,PALERMO,14
4751,Belgrano al 800,1720,7800000,542100000,4535,315174,70,SEGUNDO,MONTSERRAT,1
10153,MIRALLA 1000,250,630000,40162500,2520,160650,64,TERCER,MATADEROS,9
8368,Uriarte,215,620000,41664000,2884,193786,67,SEGUNDO,VILLA CRESPO,15
1709,BARTOLOME MITRE 4000,321,720000,46080000,2243,143551,64,SEGUNDO,ALMAGRO,5
2360,fitz roy al 2000,700,3800000,243200000,5429,347429,64,SEGUNDO,PALERMO,14
9316,Cortina,218,230000,15456000,1055,70899,67,SEGUNDO,VERSALLES,10
1000,"NEWBERY, JORGE 3700",157,480000,30600000,3057,194904,64,PRIMER,CHACARITA,15
7719,Darregueyra al 2200,152,1000000,67200000,6579,442105,67,SEGUNDO,PALERMO,14
3021,ACEVEDO,130,350000,22400000,2692,172308,64,SEGUNDO,VILLA CRESPO,15
2693,Andonaegui,256,480000,30720000,1875,120000,64,SEGUNDO,PARQUE CHAS,15
5365,Puán,77,68000,4726000,883,61377,70,SEGUNDO,PARQUE CHACABUCO,7
4117,Condarco 100,854,1980000,126720000,2319,148384,64,SEGUNDO,VILLA GRAL. MITRE,11
2243,Ruiz huidobro,370,840000,53760000,2270,145297,64,SEGUNDO,NUÑEZ,13
5746,Bahia Blanca,352,520000,36140000,1477,102670,70,SEGUNDO,FLORESTA,10
2411,Caldas y Tronador,443,1200000,76800000,2709,173363,64,SEGUNDO,PALERMO,14
7085,Av Gaona,300,740000,51430000,2467,171433,70,SEGUNDO,VILLA SANTA RITA,11
2184,Virrey Aviles,250,710000,45440000,2840,181760,64,SEGUNDO,COLEGIALES,13
6881,Campana al 4700,249,515000,35792500,2068,143745,70,SEGUNDO,VILLA DEVOTO NORTE,11
9520,Av A Alcorta,747,520000,34944000,696,46779,67,SEGUNDO,BARRACAS ESTE,4
3562,Colombres al 1300,400,500000,32000000,1250,80000,64,SEGUNDO,BOEDO,5
9036,Av Cnel M Larrazabal,260,270000,18144000,1038,69785,67,SEGUNDO,MATADEROS,9
8689,Monroe 4084/4090,275,700000,47040000,2545,171055,67,SEGUNDO,VILLA URQUIZA,12
4264,Campana,242,300000,19200000,1240,79339,64,SEGUNDO,VILLA SANTA RITA,11
6055,Dean Funes,243,420000,29190000,1728,120123,70,SEGUNDO,PARQUE PATRICIOS,4
3929,CHICLANA 3940 -,1557,1630000,104320000,1047,67001,64,SEGUNDO,NUEVA POMPEYA,4
4345,Obrien,203,330000,21120000,1626,104039,64,SEGUNDO,BARRACAS ESTE,4
9274,Av Rivadavia,217,675000,45360000,3111,209032,67,SEGUNDO,VELEZ SARSFIELD,10
9650,GRANADEROS,390,650000,43680000,1667,112000,67,SEGUNDO,FLORES NORTE,7
4542,Quintino Bocayuva,248,580000,40310000,2339,162540,70,SEGUNDO,ALMAGRO,5
6973,M Sanchez,740,520000,36140000,703,48838,70,SEGUNDO,VILLA GRAL. MITRE,11
6333,INGENIERO HUERGO al 1400,1157,6500000,451750000,5618,390449,70,SEGUNDO,SAN TELMO,1
3574,Colombres,150,320000,20480000,2133,136533,64,SEGUNDO,BOEDO,5
5106,MEDRANO,257,670000,46565000,2607,181187,70,SEGUNDO,PALERMO,14
8145,Crisologo Larralde,300,530000,35616000,1767,118720,67,SEGUNDO,SAAVEDRA,12
1092,AGUIRRE,107,485000,31040000,4533,290093,64,SEGUNDO,VILLA CRESPO,15
7216,24 de Noviembre,876,1500000,100800000,1712,115068,67,SEGUNDO,BALVANERA,3
43,DEAN FUNES 522,248,350000,28000000,1411,112903,80,CUARTO,BALVANERA,3
5197,RAMOS MEJIA,171,389999,27104930,2281,158508,70,SEGUNDO,CABALLITO,6
354,HOLMBERG 1100,568,390000,31200000,687,54930,80,CUARTO,VILLA ORTUZAR,15
1423,ARRIOLA,254,550000,35200000,2165,138583,64,SEGUNDO,PARQUE PATRICIOS,4
2332,Av. Luis Maria Campos,756,4800000,307200000,6349,406349,64,SEGUNDO,PALERMO,14
7758,J Alvarez,253,2000000,134400000,7905,531225,67,SEGUNDO,PALERMO,14
2614,Fraga 1148/50,1374,1950000,124800000,1419,90830,64,SEGUNDO,CHACARITA,15
1047,"VICTORICA, B., GRAL.",160,290000,18560000,1812,116000,64,SEGUNDO,PARQUE CHAS,15
7424,Gral Cornelio Saavedra,290,460000,30912000,1586,106593,67,SEGUNDO,SAN CRISTOBAL,3
1738,ALSINA ADOLFO,648,2100000,134400000,3241,207407,64,SEGUNDO,BALVANERA,3
2380,Humboldt,483,4200000,268800000,8696,556522,64,SEGUNDO,PALERMO,14
6521,CORRIENTES,203,850000,59075000,4187,291010,70,SEGUNDO,VILLA CRESPO,15
7088,Elpidio Gonzalez 3300,118,270000,18765000,2288,159025,70,SEGUNDO,VILLA SANTA RITA,11
6838,L Burela,441,490000,34055000,1111,77222,70,SEGUNDO,VILLA URQUIZA,12
9405,Gral M De Escalada,152,285000,19152000,1875,126000,67,SEGUNDO,VILLA LURO,10
8613,Avalos,251,850000,57120000,3386,227570,67,SEGUNDO,VILLA URQUIZA,12
3818,Bragado N°5720,650,470000,30080000,723,46277,64,SEGUNDO,MATADEROS,9
6741,Dr C Argerich,165,230000,15985000,1394,96879,70,SEGUNDO,VILLA PUEYRREDON,12
6193,"Martinez Castro al 600, esquina Tandil, CABA",214,590000,41005000,2757,191612,70,SEGUNDO,PARQUE AVELLANEDA,9
10146,"PAZ, GRAL. 11500",228,199800,12737250,876,55865,64,TERCER,LINIERS,9
1671,Muñiz al 500,149,595000,38080000,3993,255570,64,SEGUNDO,ALMAGRO,5
5800,Paso De Humaita,260,290000,20155000,1115,77519,70,SEGUNDO,LINIERS,9
